1,450,1,2,8000,1,1,1,1,1,1,1,1,1,0,1,1
2,400,1,2,13000,1,1,0,0,0,1,0,0,1,1,0,1
3,400,1,4,7000,1,1,1,1,1,1,1,1,1,0,1,0
4,450,1,2,15000,1,1,0,0,1,1,1,1,1,0,1,0
5,250,1,2,7500,1,1,0,0,0,1,0,0,0,0,1,1
6,1000,1,2,24000,1,1,0,0,0,1,1,1,1,0,0,0
7,150,0,3,2500,1,0,0,0,0,1,0,0,0,0,0,0
8,500,1,2,30000,1,1,1,0,1,1,1,1,1,0,1,1
9,250,1,1,20000,1,1,0,0,1,1,1,0,1,0,0,0
10,600,1,1,25000,0,1,0,0,1,1,0,0,0,0,1,0
11,550,1,2,25000,1,1,0,1,0,1,1,1,1,1,1,0
12,250,1,2,20000,1,1,0,0,0,0,0,0,0,0,0,0
13,450,1,2,8000,1,1,0,0,0,1,0,0,0,0,1,0
14,400,0,2,8000,1,1,0,0,0,1,0,0,0,0,1,0
15,450,1,2,15000,1,1,0,0,0,1,1,0,0,0,1,0
16,200,1,2,11000,1,1,1,0,0,1,0,0,0,0,1,1
17,700,1,1,22000,1,1,0,0,0,1,0,0,0,0,0,0
18,200,1,2,14500,1,1,0,0,0,1,0,0,0,0,0,0
19,100,1,1,3000,1,1,0,0,0,1,0,0,0,0,1,0
20,500,1,2,8000,1,1,0,0,0,1,0,0,0,0,1,0
21,500,1,2,10000,1,1,0,0,0,1,0,0,0,0,1,0
22,200,1,1,24000,0,1,0,0,1,0,1,0,0,0,0,0
